event_date,user_id,likes
2024-06-02,85937872-839f-4c21-977a-c27807140978,31
2024-06-02,5678b2e5-cff8-4eea-831f-eec27c7b09cc,13
2024-06-02,345205a9-acda-462a-a4df-32a12983798a,11
2024-06-02,9bd0bd42-be7c-4284-90b3-b1e0684231bc,31
2024-06-02,197749a5-be47-4e26-a2ec-82cdf4fb38e5,12
2024-06-02,4b7fd43f-bbe8-4f82-9e43-b27a6c44f616,50
2024-06-02,df62fa35-7688-4a25-89d4-028bfa1ca987,27
2024-06-02,c4459b7c-17f9-4f98-8944-abae4672c793,36
2024-06-02,ca840f74-537e-4ebd-88d0-680b74b928f3,6
2024-06-02,a0654412-d24a-4c0b-b96e-17c59a8b60f3,41
