event_date,user_id,likes
2024-06-01,ba8c864d-79cf-4db2-836c-cc74f871382b,43
2024-06-01,7131c5d2-85a4-412d-9609-2dcf850fde68,3
2024-06-01,010f3c5a-cca2-4046-a43e-a7403fbad8e5,7
2024-06-01,d0e76a20-9dab-41d5-94dd-8658c89e0a6d,23
2024-06-01,e622a255-d1f1-4b56-9f19-3014947a9919,11
2024-06-01,f3b8a37a-8cd3-4445-b43e-78309fd10200,23
2024-06-01,33da547a-581b-4ff2-b455-9671e554348e,37
2024-06-01,7e7b4b7d-1f38-4185-ba12-9b32a783f4e6,28
2024-06-01,c68c91ef-ae1b-4c17-b361-6b2901bbfd16,19
2024-06-01,73bd3784-1d00-4fca-9e09-a3c305e396d7,34
